Rank,Symbol,Company Name,Quant Rating,Wall Street Ratings,Market Cap,Div Yield
1,BBAR,Banco BBVA Argentina S.A.,4.98,4,5112718800,0
2,KINS,Kingstone Companies| Inc.,4.98,5,209811744,0
3,EBS,Emergent BioSolutions Inc.,4.96,3.66,609572100,0
4,MIND,MIND Technology| Inc.,4.96,5,73876528,0
9,IAG,IAMGOLD Corporation,4.91,3.63,3552216060,0
11,DAL,Delta Air Lines| Inc.,4.87,4.6,43127783000,0
12,CCL,Carnival Corporation & plc,4.87,4.2,35962622000,0
13,NXT,Nextracker Inc.,4.86,4.33,7338553900,0
15,MAPS,WM Technology| Inc.,4.83,5,231206752,0
18,NEXN,Nexxen International Ltd.,4.78,3.75,622866820,0
22,VLRS,Controladora Vuela Compa a de Aviacin| S.A.B. de C.V.,4.38,4.53,974933500,0
25,FSM,Fortuna Mining Corp.,4.17,3.6,1586397950,0
28,SKWD,Skyward Specialty Insurance Group| Inc.,4.02,4.08,1775624960,0
29,ARAY,Accuray Incorporated,3.64,4.75,224259984,0
6,ICAGY,International Consolidated Airlines Group S.A.,4.95,5,20244506600,0.008
21,MAKSY,Marks and Spencer Group plc,4.44,5,8410500100,0.0092
16,DLNG,Dynagas LNG Partners LP Common Units,4.81,5,179399952,0.0101
8,SYF,Synchrony Financial,4.93,4.04,26784933900,0.0145
20,PRDO,Perdoceo Education Corporation,4.71,4,1891316740,0.0167
7,JD,JD.com| Inc.,4.94,4.57,59023639000,0.0187
23,PHIN,PHINIA Inc.,4.31,4.25,2140341500,0.0197
14,VIRT,Virtu Financial| Inc.,4.84,3.77,6194101800,0.024
17,GAP,The Gap| Inc.,4.78,3.85,9077323800,0.0249
10,MFG,Mizuho Financial Group| Inc.,4.9,4,69966307000,0.0286
5,QFIN,Qifu Technology| Inc.,4.95,4.81,6194653700,0.0296
24,PR,Permian Resources Corporation,4.2,4.47,11769286700,0.0416
19,IBDSF,Iberdrola| S.A.,4.76,5,87352730000,0.0431
26,PAGP,Plains GP Holdings| L.P. Class A Shares,4.1,3.85,4924902900,0.063
27,WLKP,Westlake Chemical Partners LP Common Units,4.04,4,859820740,0.0773
